sort code,Generic Name,Brand Name,Target/MOA,class,MW,Dose,Dose Unit,Route,infusion,dose schedule,Cmax        (uM),Cmax (mol/liter),Cmax          (g/l),Cmax            (raw units),Tmax,T1/2 (raw units),T1/2  (Days),AUC         (raw units),AUC  (ug•hr/ml),Cl,Vss,Reference,Reference PubMed,Reference URL,Drug Product Label URL,Initial U.S. approval,Indications,Notes
1,Ado-trastuzumab emtansine ,Kadcyla,HER2 (ErbB2),ADC: m/h chimeric mAb conjugate,148500,3.6,mg/kg,IV,90 min *,q. 3 wk,0.572,5.72E-07,0.085,85.0 ug/ml,end of infusion,4.2 d,4.2,475 ug•day/ml,19.8,7.1 ml/d/kg,33.3 ml/kg,"FDA BLA 125427: Clinical Pharmacology and Biopharmaceutics Review, Table 5.  Data from study BO21977",-,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/125427Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ado-trastuzumab emtansine,2013,Breast:  metastatic;  HER2 overexpression,"* initial infusion 90 min; 30 min subsequently. Humanized anti-HER2 IgG1, trastuzumab, covalently linked to the microtubule inhibitory drug DM1 (a maytansine derivative; 3.5 moles/mole mAb) via the stable thioether linker MCC (4-[N-maleimidomethyl] cyclohexane-1-carboxylate). Emtansine refers to the MCC-DM1 complex."
1.1,free  DM1,(Kadcyla),Tubulin: microtubule inhibitor,cytotoxic,738,-,-,-,-,-,0.006,6.24E-09,0.00000461,4.61 ng/ml,-,-,-,-,-,-,-,as above,-,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/125427Orig1s000ClinPharmR.pdf,n/a,-,-,"free DM1 levels, administered as congugate"
2,Aldesleukin,Proleukin ,IL-2a R,rec human cytokine: IL-2a mutein,15300,1.1,mg,SC,-,-,0.00159,1.59E-09,0.0000244,2442 pg/ml,2.5 h,1.7 h,0.071,15746 pg•hr/ml,0.0157,74 L/h,403 L,"J Clin Pharmacol, 2002; 42:774-781",http://www.ncbi.nlm.nih.gov/pubmed/12092744,http://onlinelibrary.wiley.com/doi/10.1177/009127002401102713/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=PROLEUKIN,1992,"Melanoma, metastatic   renal cell carcinoma, metastatic","18E6 IU= 1.1 mg protein; dose is 600,000 IU/kg"
3,Alemtuzumab,Campath ,CD52,mAb: humanized IgG1,145453,30,mg,IV,2 h,3X/ wk,0.07356,7.36E-08,0.0107,10.7 ug/ml,-,6 d,6,-,-,-,-,"Blood 2004, 104(4): 948; Drug Product Label",http://www.ncbi.nlm.nih.gov/pubmed/15090452,http://www.bloodjournal.org/content/104/4/948.long?sso-checked=true,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Alemtuzumab,2001,"Leukemia: B-cell chronic lymphocytic leukemia,","mean Cmax at steady state.  Campath is no longer commercially available, withdrawn 2012"
4,Atezolizumab ,Tecentriq,PD-L1 ,"mAb: humanized IgG1 kappa, Fc engineered",145000,1200,mg,IV,60 min,q. 3 wk,2.79,2.79E-06,0.405,405 ug/ml,-,27 d,27,-,-,0.2 L/day,6.9 L,"FDA BLA 761034: Clinical Pharmacology and Biopharmaceutics Review, Table 3.  Data from study PCD4989g, cycle 1.",-,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/761034Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Atezolizumab,2016,Lung and Bladder: NSCLC;  locally advanced or metastatic urothelial carcinoma,
5,Asparaginase (E. coli),Elspar,asparagine,Enzyme: recombinant asparaginase,31731,5000,U/m2,IV,30 min,q. 3d,0.51684,5.17E-07,0.0164,3700 U/L,-,18.5 h,0.771,69135 U•hr/L,307,0.050 L/h,-,"Blood 2008, Dec 15;112(13):4832-8",http://www.ncbi.nlm.nih.gov/pubmed/18805963,http://www.bloodjournal.org/content/112/13/4832.long?sso-checked=true,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=ERWINAZE,1978,"Leukemia: Acute lymphoid leukemia, In combination with other chemotherapeutic agents", 225 Units/ mg protein
6,Asparaginase (Erwinia chrysanthemi),Erwinaze,asparagine,Enzyme: asparaginase,35000,"30,000",IU/m2,IV,3 h,-,20 IU/ml*,20 IU/ml*,-,20 IU/ml,-,6.4 h,0.267,-,-,0.16 L.h/m2,1.35 L/m2,Cancer Chemother Pharmacol􏰲2001 48: 77-82,http://www.ncbi.nlm.nih.gov/pubmed/11488528,http://link.springer.com/article/10.1007/s002800100286,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Erwinia+chrysanthemi,2011,Leukemia: Acute lymphoid leukemia,
7,Bevacizumab,Avastin ,VEGF,mAb: humanized IgG1,149000,10,mg/kg,IV,30 min,q. 2 wk,1.90604,1.91E-06,0.284,284 ug/ml,-,21 d,21,-,-,2.75 ml/kg/d,,"J Clin Oncol. 2001, 19(3):843-50",http://www.ncbi.nlm.nih.gov/pubmed/11157038,http://jco.ascopubs.org/content/19/3/843.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Bevacizumab,2004,"Cervical;  Glioblastoma multiforme, Metastatic colorectal cancer, renal cell carcinoma, Nonsquamous non-small cell lung cancer",
8,Blinatumomab,Blincyto,CD3/CD19,fusion: scFv fusion protein:  CD3 and CD19,54100,28,ug,IV,24 h,q.d. X 28 ,0.000011,1.15E-11,0.000000621,621 pg/ml *,-,2.1 h,0.0875,-,-,2.92 L/h,4.52 L,Drug Product Label,-,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125557lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Blinatumomab,2014,Leukemia: Acute lymphoid leukemia (R/R ALL): Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia,* Value is Css; steady-state achieved within first 24 h of infusion.   Bi-specific T-cell engager (BiTE); BiTEs are fusion proteins consisting of two single-chain variable fragments (scFvs) of different antibodies
8.1,Brentuximab Vedotin,Adcetris,CD30,ADC: m/h chimeric mAb conjugate,153000,1.8,mg/kg,IV,30 min,q. 3 wk,0.20915,2.09E-07,0.032,32 ug/ml,0.089 d,4.43 d,4.43,76.65 ug•day/ml,3.19,1.76 L/d,-,N Engl J Med 2010;363:1812-21,http://www.ncbi.nlm.nih.gov/pubmed/21047225,http://www.nejm.org/doi/full/10.1056/NEJMoa1002965,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Brentuximab+Vedotin,2011,"Lymphoma: Anaplastic large T-cell systemic malignant lymphoma,  Hodgkin's disease","conjugated to three to five units of the antimitotic agent monomethyl auristatin E, coupled via protease-sensitive linker which is hydrolyzed following endocytosis."
