drug,route_group,dose,dose unit,Converted dose (mg),Cmax,MW,unit,link
acetophenazine maleate,,,,,NA,,,
alendronate sodium,Oral,70,mg,70,64.78,271.08,ng/ml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5513855/
ambenonium chloride,Oral,10,mg,10,0.84,608.5,ng/ml,https://reader.elsevier.com/reader/sd/pii/S0378434700825876?token=23BB6089618E8B5FB0305E4A6D941631E8533843BA0C6353340BCE6AF06FC12D75FB0C8CC6BDB53B346609EE2F5C7017
aminophylline,Oral,390,mg,390,6.9,420.43,mg/l,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1401615/?page=3
amphetamine,Oral,10,mg,10,43.3,135.21,ng/ml,https://www.pharmapendium.com/pk/result/1593535687930
atropine sulfate,Intramuscular,2,mg,2,12.3,676.8,ng/ml,https://www.pharmapendium.com/browse/fda/Atropine%20Sulfate/277dfead3c59c3f62d373a4f32587afb?reference=13
azathioprine,Oral,50,mg,50,16.9,277.27,ng/ml,https://gut.bmj.com/content/39/1/63
bendroflumethiazide,Oral,10,mg,10,86,421.4,ng/ml,https://pubmed.ncbi.nlm.nih.gov/902450/
benoxaprofen,Oral,100,mg,100,13,301.72,ug/ml,https://bpspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2125.1977.tb00789.x
benzphetamine hydrochloride,,,,,NA,,,
benztropine mesylate,Oral,1.5,mg,1.5,2.5,403.5,ng/ml,https://www.drugbank.ca/drugs/DB00245
betaine,Oral,50,mg/kg,0.714285714,0.9,117.15,mmol/L,https://www.pharmapendium.com/pk/result/1593536820416
betamethasone,IV,10.6,mg,10.6,101,392.5,ng/ml,https://link-springer-com.eu1.proxy.openathens.net/article/10.1007/BF00542353
bethanechol chloride,,,,,NA,,,
brompheniramine maleate,Oral,0.13,mg/kg,0.001857143,11.6,435.3,ng/ml,https://www.sciencedirect.com/science/article/pii/0091674982900094?via%3Dihub
carbenicillin indanyl sodium,Oral,500,mg,500,6.5,516.5,ug/ml,https://www.rxlist.com/geocillin-drug.htm#clinpharm
carteolol hydrochloride,Oral,30,mg,30,113,328.83,ng/ml,https://link-springer-com.eu1.proxy.openathens.net/article/10.1007/BF00613462
chlordiazepoxide hydrochloride,Oral,25,mg,25,0.86,336.2,ug/ml,https://link-springer-com.eu1.proxy.openathens.net/article/10.2165/00003088-197803050-00004
chlormezanone,Oral,400,mg,400,4.62,273.74,mg/l,https://pubmed.ncbi.nlm.nih.gov/2399514/
chloroquine phosphate,Oral,10,mg/kg,0.142857143,56.6,515.9,ng/ml,https://pubmed.ncbi.nlm.nih.gov/11991015/
chlorothiazide,p.o.,125,mg,125,637,295.7,ng/ml,https://onlinelibrary.wiley.com/doi/pdf/10.1002/bdd.2510070602
cholecalciferol,Oral,"100,000",IU,2.5,42,384.6,ng/ml,https://pubmed.ncbi.nlm.nih.gov/18326608/
clofazimine,Oral,200,mg,200,469,473.4,pmol/g,https://www.pharmapendium.com/pk/result/1593542347752
clomiphene citrate,Oral,50,mg,50,4.8,598.1,ng/ml,https://www.pharmapendium.com/pk/result/1592517195524
cloxacillin sodium,IV,4,g,4000,397,475.9,ug/ml,https://www.pharmapendium.com/pk/result/1592517302259
cortisone acetate,Oral,50,mg,50,739,402.5,nmol/L,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1463287/?page=1
cromolyn sodium,inhaled,20,mg,20,12.6,512.3,ng/ml,http://jpet.aspetjournals.org/content/241/3/1028.long
cyclophosphamide,IV,600,mg/m2,186,30.8,261.08,ug/ml,https://www.pharmapendium.com/pk/result/1592518587156
cyproheptadine hydrochloride,Oral,8,mg,8,30,323.9,ug/L,https://www.researchgate.net/publication/8619244_A_Comparison_of_the_Pharmacokinetics_of_Oral_and_Sublingual_Cyproheptadine
