ID , Name , CAS , Year , Status , Is_a_Metabolite , Has_a_Metabolite , Route , VD(hour) , Cl(liter/hour) , t1/2(hour) , PPB(percentage) , F(percentage) , Cmax , Cmax_unit , Tmax(hour) , Solubility
1, SULFAPYRIDINE , 144-83-2 ,1939, DISCONTINUED ,  81  ,  , ORAL ,,,,,,,  ,, 
2, TRIPTORELIN , 57773-63-4 ,2000,  ,  ,  , INTRAMUSCULAR ,31.5,12.7,3,,,33.6, NANOMOLAR ,, 
3, HISTAMINE , 51-45-6 ,1939, DISCONTINUED ,  ,  , INJECTION ,59,210,0.18,,,38, NANOMOLAR ,0.3, 
4, BUTABARBITAL , 125-40-6 ,1939,  ,  ,  , ORAL ,,,100,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
5, DESOXYCORTICOSTERONE ACETATE , 56-47-3 ,1939, DISCONTINUED ,  ,  1791  , INJECTION IMPLANTATION ,,,,,,,  ,, 
6, DESOXYCORTICOSTERONE PIVALATE , 808-48-0 ,0, DISCONTINUED ,  ,  1791  , INJECTION ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
7, GUANIDINE , 113-00-8 ,1939,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY VERY SOLUBLE IN WATER
8, MENADIONE , 58-27-5 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
9, THEOPHYLLINE , 58-55-9 ,1940,  ,  ,  , ORAL RECTAL INJECTION ,29.2,2.5,8.7,40,,,  ,, 
10, ERGOCALCIFEROL , 50-14-6 ,1941,  ,  ,  , ORAL INJECTION INTRAVENOUS ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
11, ESTRONE , 53-16-7 ,1941, DISCONTINUED ,  17  961  ,  , INJECTION ,,,,,,1.03, NANOMOLAR ,4, SOLUBILITY SOLUBLE IN WATER
12, DIETHYLSTILBESTROL , 56-53-1 ,1973, DISCONTINUED ,  ,  , ORAL VAGINAL INJECTION ,,,,,,,  ,, 
13, SULFADIAZINE , 68-35-9 ,1941,  ,  ,  , ORAL INJECTION ,18.8,2.1,7,56,,,  ,, 
14, MEPERIDINE , 57-42-1 ,1942,  ,  ,  , ORAL INJECTION ,149.5,19.1,7.9,58,,1.38, MICROMOLAR ,, SOLUBILITY READILY SOLUBLE IN WATER
15, HOMATROPINE METHYLBROMIDE , 80-49-9 ,1943,  ,  ,  , ORAL ,,,,,,,  ,, 
16, HYDROCODONE , 125-29-1 ,1943,  ,  1862  ,  568  , ORAL ,,,16,,,76.2, NANOMOLAR ,3.4, 
17, ESTRADIOL , 50-28-2 ,1957,  ,  19  20  21  1825  ,  11  , TRANSDERMAL VAGINAL ORAL TOPICAL INJECTION ,78,117,1.7,98.4,,639.7, PICOMOLAR ,1, 
18, ETHINYL ESTRADIOL , 57-63-6 ,1943,  ,  383  ,  , ORAL TRANSDERMAL VAGINAL ,279.5,27.3,9.7,97,,418.9, NANOMOLAR ,1.27, 
19, ESTRADIOL VALERATE , 979-32-8 ,1954,  ,  ,  17  , INJECTION ORAL ,,,,,,,  ,, 
20, ESTRADIOL CYPIONATE , 313-06-4 ,1979,  ,  ,  17  , INJECTION INTRAMUSCULAR ,,,,,,,  ,, 
21, ESTRADIOL ACETATE , 4245-41-4 ,2003,  ,  ,  17  , VAGINAL ORAL ,,,,,,,  ,, 
22, METHAMPHETAMINE , 537-46-2 ,1943,  ,  294  ,  1106  , ORAL ,242,17.1,12.2,15,67.2,,  ,, 
23, DICUMAROL , 66-76-2 ,1944, DISCONTINUED ,  ,  , ORAL ,,,16.5,,,,  ,, 
24, VITAMIN A , 68-26-8 ,1953,  ,  1325  ,  , INJECTION INTRAVENOUS ORAL ,,,,,,,  ,, 
25, TUBOCURARINE , 57-95-4 ,1945, DISCONTINUED ,  ,  , INJECTION ,29.2,13.2,2,42,,,  ,, 
26, SULFABENZAMIDE , 127-71-9 ,1945, DISCONTINUED ,  ,  , VAGINAL ,,,,,,,  ,, 
27, SULFACETAMIDE , 144-80-9 ,1945,  ,  ,  , VAGINAL OPHTHALMIC TOPICAL ,,,10,,4,,  ,, 
28, SULFATHIAZOLE , 72-14-0 ,1945, DISCONTINUED ,  ,  , VAGINAL ,,,,,,,  ,, 
29, NITROFURAZONE , 59-87-0 ,1945, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
30, DIPHENHYDRAMINE , 58-73-1 ,1946,  ,  ,  , ORAL INJECTION ,422,38.2,9.3,81,,207.8, NANOMOLAR ,2.5, SOLUBILITY FREELY SOLUBLE IN WATER
31, SILODOSIN , 160970-54-7 ,2008,  ,  ,  , ORAL ,49.5,10,13.3,97,32,124.4, NANOMOLAR ,2.6, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
32, TRIMETHADIONE , 127-48-0 ,1946,  ,  ,  1773  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
33, FOLIC ACID , 59-30-3 ,1946,  ,  105  1853  ,  , ORAL INJECTION INTRAVENOUS ,,,,,,,  ,, 
34, TRIPELENNAMINE , 91-81-6 ,1948, DISCONTINUED ,  ,  , ORAL ,,,4.4,,,760.7, NANOMOLAR ,0.5, 
35, HOMATROPINE METHYLBROMIDE , 80-49-9 ,1943,  ,  ,  , ORAL ,,,,,,,  ,, 
36, DIHYDROERGOTAMINE , 511-12-6 ,1946,  ,  ,  , INJECTION NASAL ,800,90,9,93,,7.6, NANOMOLAR ,0.38, 
37, DIMERCAPROL , 59-52-9 ,1946,  ,  ,  , INJECTION ,,,,,,,  ,, 
38, CHLOROQUINE , 54-05-7 ,1949,  ,  ,  , ORAL INJECTION ,9100,16,570,55,,0.513, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
39, MEPHENYTOIN , 50-12-4 ,1946, DISCONTINUED ,  ,  , ORAL ,97.5,1.17,77,,,,  ,, 
40, METHYLERGONOVINE , 113-42-8 ,1946,  ,  ,  , ORAL INJECTION ,56.1,14.4,3.39,,60,9.56, NANOMOLAR ,1.12, 
41, SULFOXONE , 144-76-3 ,1974, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
42, ASCORBIC ACID , 50-81-7 ,1947,  ,  ,  , INJECTION INTRAVENOUS ORAL ,,,,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
43, BIOTIN , 58-85-5 ,1947,  ,  ,  , INJECTION INTRAVENOUS ,,,,,,,  ,, 
44, MOMETASONE FUROATE , 83919-23-7 ,1987,  ,  ,  605  , TOPICAL NASAL INHALATION IMPLANTATION ,152,48.7,5.8,98.5,,218.8, PICOMOLAR ,1.75, SOLUBILITY INSOLUBLE IN WATER
45, NIACINAMIDE , 98-92-0 ,1947,  ,  ,  , INJECTION ORAL INTRAVENOUS ,,,,,,,  ,, 
46, PYRIDOXINE , 65-23-6 ,1947,  ,  ,  , INJECTION ORAL INTRAVENOUS ,,,0.5,,,192, NANOMOLAR ,5.7, 
47, THIAMINE , 59-43-8 ,1947,  ,  ,  , INJECTION INTRAVENOUS ,,,,,,385, NANOMOLAR ,4.14, SOLUBILITY FREELY SOLUBLE IN WATER
48, ALPHA-TOCOPHEROL , 59-02-9 ,1953,  ,  1419  ,  , INJECTION INTRAVENOUS ,,,,,,,  ,, 
49, DIENESTROL , 84-17-3 ,1947, DISCONTINUED ,  ,  , VAGINAL ,,,,,,,  ,, 
50, METHADONE , 76-99-3 ,1947,  ,  ,  , ORAL INJECTION ,286,6.6,31,79,68,2.03, MICROMOLAR ,, SOLUBILITY VERY SOLUBLE IN WATER
51, PROPYLTHIOURACIL , 51-52-5 ,1947,  ,  ,  , ORAL ,22.1,12.09,1.3,82,,105.8, MICROMOLAR ,0.75, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
52, DIBUCAINE , 85-79-0 ,0, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
53, HEXACHLOROPHENE , 70-30-4 ,1949,  ,  ,  , TOPICAL ,,,,,,,  ,, 
54, DIMERCAPROL , 59-52-9 ,1946,  ,  ,  , INJECTION ,,,,,,,  ,, 
55, SULFAMERAZINE , 127-79-7 ,1949, DISCONTINUED ,  ,  , ORAL ,,,20.3,,,,  ,, 
56, SULFAMETHAZINE , 57-68-1 ,1949, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
57, ISOPROTERENOL , 7683-59-2 ,1956,  ,  ,  , INHALATION RECTAL SUBLINGUAL INJECTION ,97.5,218.4,0.41,29,,,  ,, 
58, ISOPROTERENOL , 7683-59-2 ,1956,  ,  ,  , INHALATION RECTAL SUBLINGUAL INJECTION ,97.5,218.4,0.41,29,,,  ,, 
59, TOLAZOLINE , 59-98-3 ,1948, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
60, DOXYLAMINE , 469-21-6 ,1948,  ,  ,  , ORAL ,,11.7,12.5,,,308, NANOMOLAR ,2.5, SOLUBILITY VERY SOLUBLE IN WATER
61, AMODIAQUINE , 86-42-0 ,0, DISCONTINUED ,  ,  1772  , ORAL ,46200,2380,12.4,,,85.8, NANOMOLAR ,1.46, 
62, DIETHYLCARBAMAZINE , 90-89-1 ,1950, DISCONTINUED ,  ,  , ORAL ,533,2,11.4,,,3.2, MICROMOLAR ,2.7, 
63, LIDOCAINE , 137-58-6 ,1948,  ,  ,  , INJECTION TOPICAL ORAL SPINAL RECTAL IONTOPHORESIS BUCCAL PERIODONTAL INTRADERMAL INTRAMUSCULAR INTRAVENOUS OPHTHALMIC ,117,57,1.75,70,,777, NANOMOLAR ,0.5, 
64, EPINEPHRINE , 51-43-4 ,1948,  ,  498  1160  ,  , INJECTION INHALATION INTRAMUSCULAR SUBCUTANEOUS IONTOPHORESIS TOPICAL INTRAVENOUS IV INTRAOCULAR ,,,0.05,,,,  ,, SOLUBILITY SOLUBLE IN WATER
65, SULFISOXAZOLE , 127-69-5 ,1971, DISCONTINUED ,  66  ,  , ORAL INJECTION OPHTHALMIC ,11,1.17,6.2,92,,682, MICROMOLAR ,2.5, 
66, SULFISOXAZOLE ACETYL , 80-74-0 ,1953, DISCONTINUED ,  ,  65  , ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
67, SULFANILAMIDE , 63-74-1 ,1965,  ,  ,  , VAGINAL ,,,,,,,  ,, 
68, BETHANECHOL , 590-63-6 ,1948,  ,  ,  , INJECTION ORAL ,,,,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
