"cid","pubchem_name","pid","cid_other","wwm","ppm","chembl","wwm_name","ppm_name","chembl_name","chembl_id"
5360545,"7440-23-5",5360545,NA,0,0,1,NA,NA,NA,NA
80085,"emetonium",80085,NA,0,0,1,NA,NA,"(2-benzhydryloxyethyl)diethyl-methylammonium","CHEMBL3707205"
10219504,"octanoic acid 1-c-13",10219504,NA,0,1,0,NA,"1-13c-caprylic acid",NA,NA
15907,"2-(4-chlorophenoxy)ethanol",15907,NA,0,0,1,NA,NA,"2-(4-chlorphenoxy)-ethanol","CHEMBL3707367"
14385,"3,3',4',5-tetrachlorosalicylanilide",14385,NA,0,0,1,NA,NA,"3,3',4',5-tetrachlorosalicylanilide","CHEMBL291338"
23829003,"159109-11-2",23829003,NA,0,0,1,NA,NA,"3f8","CHEMBL2109418"
22174,"4-(dimethylamino)phenol",22174,NA,0,0,1,NA,NA,"4-dimethylaminophenol","CHEMBL3707216"
5464378,"chembl289195",5464378,NA,0,0,1,NA,NA,"4b5","CHEMBL2109421"
44467821,"4sc-203",44467821,NA,0,0,1,NA,NA,"4sc-203","CHEMBL3545358"
2355,"bergapten",2355,NA,0,1,0,NA,"5-methoxypsoralen",NA,NA
441300,"abacavir",441300,NA,0,0,1,NA,NA,"abacavir","CHEMBL1380"
9822500,"abacavir succinate",441300,NA,0,0,1,NA,NA,"abacavir succinate","CHEMBL2106686"
159326,"abafungin",159326,NA,0,0,1,NA,NA,"abafungin","CHEMBL3989547"
76943386,"abaloparatide",76943386,NA,0,1,1,NA,"abaloparatide","abaloparatide","CHEMBL3301581"
6435890,"abamectinum",6435890,NA,0,0,1,NA,NA,"abamectin","CHEMBL3215298"
6434889,"avermectin b1a",6434889,NA,0,0,1,NA,NA,"abamectin component b1a","CHEMBL1630577"
6858005,"avermectin b1b",6858005,NA,0,0,1,NA,NA,"abamectin component b1b","CHEMBL2079552"
15664,"5,5'-dimethyl-2,2'-bipyridine",15664,NA,0,0,1,NA,NA,"abametapir","CHEMBL2205807"
164089,"abanoquil",164089,NA,0,0,1,NA,NA,"abanoquil","CHEMBL324090"
3037308,"abaperidone",3037308,NA,0,0,1,NA,NA,"abaperidone","CHEMBL151475"
16131215,"abarelix",16131215,NA,0,1,1,NA,"abarelix","abarelix","CHEMBL1252"
65914,"abecarnil",65914,NA,0,1,1,NA,"abecarnil","abecarnil","CHEMBL454095"
11962616,"abediterol",11962616,NA,0,0,1,NA,NA,"abediterol","CHEMBL3039530"
46893933,"abediterol napadisylate",46893933,NA,0,0,1,NA,NA,"abediterol napadisylate","CHEMBL3039510"
11749858,"abexinostat",11749858,NA,0,0,1,NA,NA,"abexinostat","CHEMBL2103863"
17751049,"abexinostat hydrochloride",11749858,NA,0,0,1,NA,NA,"abexinostat hydrochloride","CHEMBL2105727"
132971,"abiraterone",132971,NA,0,0,1,NA,NA,"abiraterone","CHEMBL254328"
176863,"abitesartan",176863,NA,0,0,1,NA,NA,"abitesartan","CHEMBL1742401"
72165228,"asciminib",72165228,NA,0,0,1,NA,NA,"abl-001","CHEMBL3545115"
57109,"ablukast",57109,NA,0,0,1,NA,NA,"ablukast","CHEMBL22016"
23694472,"ablukast sodium",57109,NA,0,0,1,NA,NA,"ablukast sodium","CHEMBL2105973"
11256560,"abt-102",11256560,NA,0,0,1,NA,NA,"abt-102","CHEMBL398338"
11151363,"abt-107",11151363,NA,0,0,1,NA,NA,"abt-107","CHEMBL2151570"
24987875,"nelonicline",24987875,NA,0,0,1,NA,NA,"abt-126","CHEMBL3545231"
24743471,"abt-288",24743471,NA,0,0,1,NA,NA,"abt-288","CHEMBL3545029"
170365,"abunidazole",170365,NA,0,0,1,NA,NA,"abunidazole","CHEMBL301926"
56837828,"ac-430",46892373,"46892373",0,0,1,NA,NA,"ac-430","CHEMBL3545241"
10437018,"bms-599626",10437018,NA,0,0,1,NA,NA,"ac-480","CHEMBL1645462"
5280804,"isoquercetin",5280804,NA,0,0,1,NA,NA,"acacia","CHEMBL2108172"
17513,"acadesine",17513,NA,0,0,1,NA,NA,"acadesine","CHEMBL1551724"
11618268,"acalisib",11618268,NA,0,0,1,NA,NA,"acalisib","CHEMBL3545397"
71158,"acamprosate",71158,NA,0,0,1,NA,NA,"acamprosate","CHEMBL1201293"
176864,"acaprazine",176864,NA,0,0,1,NA,NA,"acaprazine","CHEMBL2104046"
41774,"acarbose",41774,"444254,441184,4432690,18397995,70702327,122172882,129010024,134694648",0,1,1,NA,"acarbose","acarbose","CHEMBL1566"
10952056,"acebrochol",10952056,NA,0,0,1,NA,NA,"acebrochol","CHEMBL2104033"
176865,"aceburic acid",176865,NA,0,0,1,NA,NA,"aceburic acid","CHEMBL2104034"
1978,"acebutolol",1978,NA,0,0,1,NA,NA,"acebutolol","CHEMBL642"
4342,"n-acetylprocainamide",4342,NA,0,1,1,NA,"acecainide","acecainide","CHEMBL1097"
71417,"acecainide hydrochloride",4342,NA,0,0,1,NA,NA,"acecainide hydrochloride","CHEMBL1256805"
6489,"acecarbromal",6489,NA,0,0,1,NA,NA,"acecarbromal","CHEMBL2104673"
1979,"aceclidine",1979,NA,0,0,1,NA,NA,"aceclidine","CHEMBL20835"
71771,"aceclofenac",71771,NA,0,1,1,NA,"aceclofenac","aceclofenac","CHEMBL93645"
6477,"acedapsone",6477,NA,0,0,1,NA,NA,"acedapsone","CHEMBL154166"
66451,"acediasulfone",66451,NA,0,0,1,NA,NA,"acediasulfone","CHEMBL48396"
23677986,"acediasulfone sodium",66451,NA,0,0,1,NA,NA,"acediasulfone sodium","CHEMBL2105931"
19266,"4-acetamidobenzoic acid",19266,NA,0,0,1,NA,NA,"acedoben","CHEMBL112687"
12850920,"acefluranol",12850920,NA,0,0,1,NA,NA,"acefluranol","CHEMBL2104694"
3037171,"acefurtiamine",3037171,"170369,70685096",0,0,1,NA,NA,"acefurtiamine","CHEMBL2104090"
69550,"acefylline",69550,NA,0,0,1,NA,NA,"acefylline","CHEMBL70246"
68898,"acefylline clofibrol",68898,NA,0,0,1,NA,NA,"acefylline clofibrol","CHEMBL2104056"
76959346,"acefylline piperazine",69550,"6453414,87819",0,0,1,NA,NA,"acefylline piperazine","CHEMBL2106660"
636372,"aceglatone",636372,NA,0,0,1,NA,NA,"aceglatone","CHEMBL446209"
185,"2-acetamidopentanedioic acid",185,NA,0,0,1,NA,NA,"aceglumate","CHEMBL2142890"
72041,"acemannan",72042,"72042",0,0,1,NA,NA,"acemannan","CHEMBL3989763"
1981,"acemetacin",1981,NA,0,1,1,NA,"acemetacin","acemetacin","CHEMBL189171"
14017587,"unii-gzp2782op0",14017587,NA,0,0,1,NA,NA,"aceneuramic acid","CHEMBL2105945"
54676537,"acenocoumarol",54676537,NA,0,0,1,NA,NA,"acenocoumarol","CHEMBL397420"
13122,"aceperone",13122,NA,0,0,1,NA,NA,"aceperone","CHEMBL136298"
6077,"acepromazine",6077,NA,0,0,1,NA,NA,"acepromazine","CHEMBL39560"
6420038,"acepromazine maleate",6077,"19189,5476753,6077",0,0,1,NA,NA,"acepromazine maleate","CHEMBL1883146"
26035,"aceprometazine",26035,NA,0,0,1,NA,NA,"aceprometazine","CHEMBL2104054"
170370,"acequinoline",170370,NA,0,0,1,NA,NA,"acequinoline","CHEMBL2104051"
36573,"acesulfame",36573,NA,0,0,1,NA,NA,"acesulfame","CHEMBL176687"
11074431,"acesulfame potassium",36573,"23683747,71295848,36573,22245511,3262017",0,0,1,NA,NA,"acesulfame potassium","CHEMBL1351474"
1984,"acetaminosalol",1984,NA,0,0,1,NA,NA,"acetaminosalol","CHEMBL92590"
904,"acetanilide",904,NA,0,0,1,NA,NA,"acetanilide","CHEMBL269644"
1985,"acetarsol",1985,NA,0,0,1,NA,NA,"acetarsone","CHEMBL1330792"
13290219,"acetazolamide sodium",1986,NA,0,1,1,NA,"acetazolamide sodium","acetazolamide sodium","CHEMBL1200814"
71118,"acetergamine",71118,"10447354,57156384",0,0,1,NA,NA,"acetergamine","CHEMBL3989419"
5748361,"acetiamine",5748361,"3033984,68748",0,0,1,NA,NA,"acetiamine","CHEMBL421556"
176,"acetic acid",176,NA,0,1,1,NA,"acetic acid","acetic acid","CHEMBL539"
16748,"acetiromate",16748,NA,0,0,1,NA,NA,"acetiromate","CHEMBL2105921"
96,"acetoacetic acid",96,NA,0,0,1,NA,NA,"acetoacetic acid","CHEMBL1230762"
11310,"menadiol diacetate",11310,NA,0,0,1,NA,NA,"acetomenaphthone","CHEMBL1479848"
180,"acetone",180,NA,0,0,1,NA,NA,"acetone","CHEMBL14253"
17676,"acetophenazine",17676,NA,0,0,1,NA,NA,"acetophenazine","CHEMBL1085"
20055090,"acetorphine",20055090,NA,0,0,1,NA,NA,"acetorphine","CHEMBL3989451"
31400,"acetosulfone",31400,NA,0,0,1,NA,NA,"acetosulfone","CHEMBL3306903"
11954271,"acetosulfone sodium",31400,NA,0,1,1,NA,"acetosulfone sodium","acetosulfone sodium","CHEMBL3301665"
94320,"acetoxolone",94320,NA,0,0,1,NA,NA,"acetoxolone","CHEMBL207413"
23665874,"acetrizoate sodium",6806,NA,0,1,1,NA,"acetrizoate sodium","acetrizoate sodium","CHEMBL1201045"
6806,"acetrizoic acid",6806,NA,0,0,1,NA,NA,"acetrizoic acid","CHEMBL1201327"
20810,"acetryptine",20810,NA,0,0,1,NA,NA,"acetryptine","CHEMBL110317"
7045767,"acetyl-l-carnitine",439756,"1",0,0,1,NA,NA,"acetylcarnitine","CHEMBL1697733"
187,"acetylcholine",187,NA,0,0,1,NA,NA,"acetylcholine","CHEMBL667"
6060,"acetylcholine chloride",187,NA,0,1,1,NA,"acetylcholine chloride","acetylcholine chloride","CHEMBL1184"
11765960,"alpha-acetyldigoxin",11765960,NA,0,1,1,NA,"acetyldigoxin","acetyldigoxin","CHEMBL2074725"
5463874,"acetyldihydrocodeine",5463874,NA,0,0,1,NA,NA,"acetyldihydrocodeine","CHEMBL3092041"
71587019,"acetylglycinamide chloral hydrate",71587019,NA,0,0,1,NA,NA,"acetylglycinamide chloral hydrate","CHEMBL3707308"
1995,"n-acetyl-dl-leucine",1995,NA,0,0,1,NA,NA,"acetylleucine","CHEMBL1875805"
56841978,"acetyltannic acid [usp]",16133892,NA,0,0,1,NA,NA,"acetyltannic acid","CHEMBL2108908"
6505,"acetyl tributyl citrate",6505,NA,0,0,1,NA,NA,"acetyltributyl citrate","CHEMBL1904556"
6504,"77-89-4",6504,NA,0,0,1,NA,NA,"acetyltriethyl citrate","CHEMBL2105928"
65717,"acevaltrate",65717,NA,0,0,1,NA,NA,"acevaltrate","CHEMBL563350"
2005,"6-acetamidohexanoic acid",2005,NA,0,0,1,NA,NA,"acexamic acid","CHEMBL2105922"
51576,"acifran",51576,NA,0,0,1,NA,NA,"acifran","CHEMBL278488"
5310993,"acipimox",5310993,NA,0,1,1,NA,"acipimox","acipimox","CHEMBL345714"
2006,"acitazanolast",2006,NA,0,0,1,NA,NA,"acitazanolast","CHEMBL2104654"
176866,"acitemate",176866,NA,0,0,1,NA,NA,"acitemate","CHEMBL2218918"
294641,"acivicin",294641,NA,0,1,1,NA,"acivicin","acivicin","CHEMBL1231101"
172290,"aclantate",172290,NA,0,0,1,NA,NA,"aclantate","CHEMBL2104022"
451415,"aclarubicin",451415,NA,0,1,1,NA,"aclarubicin","aclarubicin","CHEMBL502620"
2009,"aclatonium",2009,NA,0,0,1,NA,NA,"aclatonium","CHEMBL2110902"
6918580,"aclatonium napadisilate",6666,NA,0,0,1,NA,NA,"aclatonium napadisilate","CHEMBL2106580"
11434515,"aclidinium",11434515,NA,0,0,1,NA,NA,"aclidinium","CHEMBL1194325"
11519741,"aclidinium bromide",11434515,NA,0,1,1,NA,"aclidinium bromide","aclidinium bromide","CHEMBL551466"
41446,"acodazole",41446,NA,0,0,1,NA,NA,"acodazole","CHEMBL188427"
41445,"acodazole hydrochloride",41446,NA,0,0,1,NA,NA,"acodazole hydrochloride","CHEMBL2002735"
44154199,"acofilcon a",44154199,NA,0,0,1,NA,NA,"acofilcon a","CHEMBL3545315"
155435,"acolbifene",155435,NA,0,0,1,NA,NA,"acolbifene","CHEMBL68055"
155436,"acolbifene hydrochloride",155435,NA,0,0,1,NA,NA,"acolbifene hydrochloride","CHEMBL2105965"
5391612,"aconiazide",5391612,NA,0,0,1,NA,NA,"aconiazide","CHEMBL1590674"
245005,"aconitine",245005,"2012,6419868,6708463,24832676,92044462,124831709,22393,6713948,45358103,137322618,6323706,6915984,11969475,16210989,24014401,70697623,71774333,91746192,118705467,122173175,131674976,134688691,139593379",0,0,1,NA,NA,"aconitine","CHEMBL2103747"
