sort code,Generic Name,Brand Name,MOA/Target,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (ng/ml),Cmax (mg/l),Cmax (raw units),Tmax   hr,T1/2        hr,AUC  (raw units),AUC   (ng•hr/ml),Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,pubmed link,Reference URL,Drug Product Label URL,Cancer Indication,Notes,unit list,route list
1,Abarelix,Plenaxis,GnRH antagonist,1416,100,mg,IM,-,q 2 wk X2; q 4 wk,0.031,3.06E-08,0.0000434,43.4,0.0434,43.4 ng/ml,72,316.8,500 ng•day/ml,12000,208 L/day,4040 L,96-99%,,2003,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21320_plenaxis_lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21320_plenaxis_lbl.pdf,Prostate ,Only physicians who have enrolled in the Plenaxis™ User Safety Program may prescribe Plenaxis™,,
4,Afatinib,Gilotrif,"Kinase inhibitor (Tyrosine): EGFR, HER2, HER4",486,40,mg,PO,-,qd,0.052,5.19E-08,0.0000252,25,0.025,25.2 ng/ml,4,26.9,324 ng•hr/ml,324,952 ml/min,2220 L,95%,,2013,"Clin Pharmacokinet 2013, 52(12):1101-9",http://www.ncbi.nlm.nih.gov/pubmed/23813493,http://link.springer.com/article/10.1007%2Fs40262-013-0091-4,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Afatinib,Lung (NSCLC):  non-small cell lung cancer (metastatic) with EGFR exon 19 deletions or exon 21 (L858R) substitution mutations,"irreversible inhibitor.  FDA approved afatinib (Gilotrif tablets, Boehringer Ingelheim Pharmaceuticals, Inc.), for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.  The safety and efficacy of afatinib have not been established in patients whose tumors have other EGFR mutations.  Concurrent with this action, FDA approved the therascreen EGFR RGQ PCR Kit (QIAGEN) for detection of EGFR exon 19 deletions or exon 21 (L858R) substitution mutations.  July 12, 2013 More Information: http://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm360574.htm",mg/m2,Intra Cisternal
5,Alectinib ,Alecensa,"Kinase inhibitor (Tyrosine): ALK, RET",483,600,mg,PO,-,BID,1.38,1.38E-06,0.000665,665,0.67,665 ng/ml,4,33,7430  ng•hr/ml,7430,81.9 L/h,4016 L,>99%,,2015,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/208434s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Alectinib,"Lung (NSCLC):  non-small cell lung cancer (metastatic), ALK-positive",,mg/kg/day,
6,Alfuzosin  ,UroXatral,Alpha1 Antagonist,389,10,mg,PO,-,qd,0.035,3.49E-08,0.0000136,14,0.014,13.6 ng/ml,8,10,194 ng•hr/ml,194,-,3.2 L/kg,82-90%,,2003,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021287s017lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Alfuzosin,not approved for cancer indications.  Prostate: benign prostatic hyperplasia,not approved for cancer indications: indicated for the treatment of signs and symptoms of benign prostatic hyperplasia,mg/kg,IV
7,Allopurinol,Zyloprim,Nucleoside/Antimetab: Xanthine Oxidase Inhibitor,136,300,mg,PO,-,qd,14.3,1.43E-05,0.00194,1940,1.9,1936 ng/ml,1.4,1.4,4814 ng•hr/ml,4814,-,-,negligible,,1966,"J Clin Pharm Ther 2001, 26(2): 113",http://www.ncbi.nlm.nih.gov/pubmed/11350534,http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2710.2001.00329.x/epdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Allopurinol,"Leukemia, lymphoma and malignancies: management of patients who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.","xanthine oxidase inhibitor indicated for management of patients with leukemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.  Active metabolite oxipurinol (alloxanthine),  also is an inhibitor of xanthine oxidase, with Cmax of 6.5 ug/ml and T1/2 of 15 hours.",units/m2,PO
8,Altretamine,Hexalen,Alkylating/DNA damage,210,200,mg,PO,-,-,3.76,3.76E-06,0.00079,790,0.79,790 ng/ml,0.5-3,4.7- 10.2,-,-,-,-,94%,,1990,Pharm Weekbl Sci 1989; 11:218-223,http://www.ncbi.nlm.nih.gov/pubmed/2515524,http://link.springer.com/article/10.1007/BF01959414,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Altretamine,Ovarian:  following first-line therapy with a cisplatin and/or alkylating agent-based combination.,Cmax varies widely with formulation; Hexalen @ 200 mg po gave 277 ng/ml,,IM
9,Amifostine,Ethyol,Chemoprotective: ROS Scavenger,214,200,mg/m2,IV,7.5 min,-,105,1.05E-04,0.022471678,22472,22,104.9 umol/L,-,0.26,1187 umol•min/L,4238,1.48 L/min,-,negligible,,1995,"J Clin Pharmacol 2002, 42(2): 166",http://www.ncbi.nlm.nih.gov/pubmed/11831539,http://onlinelibrary.wiley.com/doi/10.1177/00912700222011201/abstract;jsessionid=E3477B211E5A7D1158278B2FFD2A0F55.f03t01,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Amifostine,Ovarian: reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,Indicated to reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.  Less than 10% of parent remains in the plasma 6 minutes after drug administration. Parent is rapidly metabolized by alkaline phosphatase to an active free thiol metabolite (WR-1065).,,
10,Aminoglutethimide,Cytadren,Steroid metabolism: Pregnenolone synthesis inhibitor (P450scc; CYP11A1),232,500,mg,PO,-,-,25.4,2.54E-05,0.0059,5900,5.9,5.9 ug/ml,1.5,12.5,-,-,-,-,21-25%,,1980,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/018202s021lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/018202s021lbl.pdf,not approved for cancer indications; approved for Cushing's syndrome,not approved for cancer indications.  Discontinued,,
11,Aminolevulinic Acid  ,Levulan Kerastick,Photosensitizer,131,100,mg,IV*,1 min,-,129,1.29E-04,0.0169,16900,17,16.9 ug/ml,-,0.83,13.7 ug•hr/ml,13700,7.8 L/h,9.3 L,-,,1999,"J Pharmacol Exp Ther 2002, 301(2): 507",http://www.ncbi.nlm.nih.gov/pubmed/11961050,http://jpet.aspetjournals.org/content/301/2/507.full.pdf+html,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Aminolevulinic,Actinic Keratosis of the face or scalp (Topical),"Approved only for topical administration, used in conjunction with photodynamic illumination; systemic exposure is undetectable following topical administration.  For bladder cancer, intravesiclular delivery of a dose of 1.33 grams gave 5.35 mg/ml urine, diluted by urine from target concentration of 24 mg/ml.  Oral admin: 100 mg p.o. gave Cmax of 4.6 ug/ml.",,
12,Anastrozole  ,Arimidex ,Steroid metabolism: Aromatase Inhibitor,293,1,mg,PO,-,qd,0.035,3.48E-08,0.0000102,10,0.01,10.2 ng/ml,-,41.3,536 ng•hr/ml,536,-,-,40%,,1995,"J Pharm Biomed Anal 2008, 48(3): 853",http://www.ncbi.nlm.nih.gov/pubmed/18657375,http://www.sciencedirect.com/science/article/pii/S0731708508003518,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Anastrozole,Breast:   locally advanced or metastatic;   hormone receptor-positive early breast cancer.,"Anastrozole mean steady-state minimum plasma concentrations in Caucasian and Japanese postmenopausal women who received 1 mg of anastrozole daily for 16 days were 25.7 and 30.4 ng/mL, respectively.",,
