pf_id,smiles,hfu_p_mod,hfu_p_num,measure_comm,hbp_mod,hbp_num,blood2plasm_comm
PF-00346597,Clc2cc1nc(ccc1cc2)\C=C\c3cc(ccc3)[C@H](SCC4(CC4)CC(=O)O)CCc5c(cccc5)C(O)(C)C,=,0.00016876,    No detectable peaks in buffer samples5uM; 10X Dilution; mini presat; 55uM; 10X Dilution; mini presat; 25uM; 10X Dilution; mini presat; 10,=,0.666666667,% Recovery out of +/-30% rangeDisparate replicates  Positive control failure 
PF-01673287,FC(F)(F)c1c(ccc(c1)NC(=O)Nc2ccc(cc2)Oc3cc(ncc3)C(=O)NC)Cl,=,0.000296667, Disparate replicates5uM; 10X Dilution; mini presat; 55uM; 10X Dilution; mini presat; 25uM; 10X Dilution; mini presat; 10,,,
PF-01672112,Fc1cc(ccc1)COc2c(cc(cc2)Nc3ncnc4c3cc(cc4)-c5oc(cc5)CNCCS(=O)(=O)C)Cl,=,0.000337,,,,
PF-04967002,S(=O)(=O)(N)c1c(ccc(c1)Nc2nc(ccn2)N(C)c4cc3nn(c(c3cc4)C)C)C,=,0.0003995,,=,0.649,
PF-05588470,FC(F)(F)Oc1ccc(cc1)-c2c(c(ccc2)C(=O)Nc3cnc(cc3)N4C[C@H](O[C@H](C4)C)C)C,=,0.000466274,,=,0.71,
PF-00346624,S(=O)(=O)(NC(=O)c1cc(c(cc1)Cc2cn(c3c2cc(cc3)NC(=O)OC4CCCC4)C)OC)c5c(cccc5)C,=,0.00055,,,,
PF-06700176,FC(F)(F)c1c(ccc(c1)NC(=O)Nc2c(cc(cc2)Oc3cc(ncc3)C(=O)NC)F)Cl,=,0.000557,,,,
PF-06452816,[nH]1c6c(c5c1C(c2c(cc(c(c2)N3CCC(CC3)N4CCOCC4)CC)C5=O)(C)C)ccc(c6)C#N,=,0.000568, No detectable peaks in buffer samples,,,
PF-06708379,s1nc(c2c1cccc2)N3CCN(CC3)C[C@H]4[C@@H](CCCC4)CN7C(=O)[C@@H]5[C@@H]([C@@H]6C[C@H]5CC6)C7=O,=,0.000851,,,,
PF-05234929,N2c1c(cccc1)C(=O)C(=C2)C(=O)Nc3c(cc(c(c3)O)C(C)(C)C)C(C)(C)C,<,0.001,,=,0.78,
PF-00344899,O(C)c2cc1c(cc(cc1)[C@H](C)C(=O)O)cc2,=,0.00122,,=,0.773275981,
PF-06727614,Clc1c(nc(nc1)Nc2c(cc(c(c2)C)C3CCNCC3)OC(C)C)Nc4c(cccc4)S(=O)(=O)C(C)C,=,0.0013,,,,
PF-00482974,[N+](=O)([O-])c1c(c(cc(c1)C(=O)c2ccc(cc2)C)O)O,=,0.0017,Poor analytical sensitivity ,,,
PF-05166418,Brc1ccc(cc1)C(=O)c2c(c(ccc2)CC(=O)O)N,=,0.0017,,=,0.802,
PF-00344800,N(c1c(c(ccc1)C)C)c2c(cccc2)C(=O)O,=,0.0018,  PreSaturation PPB; 18 hr incubation; [Pre-Saturation] = 0.02 uM,,,
PF-06681660,Brc1cnc(nc1)OCCOc2ncnc(c2-c3ccc(cc3)Br)NS(=O)(=O)NCCC,=,0.00208,,,,
PF-00344631,O(CCCC(C)(C)C(=O)O)c1c(ccc(c1)C)C,=,0.00219,,=,0.565,
PF-00344714,Clc1cc(c(cc1)OC)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,=,0.002344444,Disparate replicatesLow recovery in experimentDisparate replicatesDisparate replicates     Dilution Method (10x @ 24 hrs)Dilution Method (10x @ 18 hrs) ,=,0.6275,
PF-00345738,N(C)(C)c1ccc(cc1)[C@H]3C[C@]5([C@H]([C@@H]4CCC2=CC(=O)CCC2=C43)CC[C@@]5(O)C#CC)C,=,0.00244,,=,0.587,
PF-00346444,Clc1c(ccc(c1)Cl)[C@@]2(O[C@H](CO2)COc3ccc(cc3)N4CCN(CC4)c5ccc(cc5)N6C=NN(C6=O)[C@H](CC)C)Cn7ncnc7,=,0.002482, Pre-Saturation Method x5Pre-Saturation Method x10Dilution MethodDilution MethodDilution MethodDilution Method      Dilution Method 10x 18hr                        10x presaturation5x presaturation2x presaturation2x human plasma; 10x2x human plasma; 2x2x human plasma; 2x2x human plasma; 10x ,,,
PF-00346491,Clc1c(cc2c(c1)NC(=O)C2)CCN3CCN(CC3)c4nsc5c4cccc5,=,0.00264,,=,0.62,
PF-00345032,Fc1c(ccc(c1)F)-c2cc(c(cc2)O)C(=O)O,=,0.00276,,,,
PF-06469672,FC5(Oc1c(ccc(c1)C2(CC2)C(=O)Nc4c(cc3n(c(cc3c4)C(CO)(C)C)C[C@@H](O)CO)F)O5)F,=,0.0029,,=,0.555,
PF-00346591,S1[C@H](C(=O)NC1=O)Cc2ccc(cc2)OCCN(C)c3ncccc3,=,0.0031,,,,
PF-00346577,S(C[C@H](NC(=O)c1c(c(ccc1)O)C)[C@H](O)CN2[C@@H](C[C@H]3[C@@H](C2)CCCC3)C(=O)NC(C)(C)C)c4ccccc4,=,0.00328,,,,
