dose_unit,dose_unit_type,dose_conversion_factor,dose_standard_unit_primary,,
cm2,area,1,cm2,,
g,mass,1000,mg,,
mg,mass,1,mg,,
ng,mass,1.00E-06,mg,,
pg,mass,1.00E-09,mg,,
ug,mass,0.001,mg,,
g/cm2,mass_area,1000,mg/cm2,,
g/m2,mass_area,0.1,mg/cm2,,
mg/cm2,mass_area,1,mg/cm2,,
mg/m2,mass_area,0.0001,mg/cm2,,
ug/m2,mass_area,1.00E-07,mg/cm2,,
g/kg,mass_mass,1000,mg/kg,,
mg/100g,mass_mass,10,mg/kg,,
mg/g,mass_mass,1000,mg/kg,,
mg/kg,mass_mass,1,mg/kg,,
ng/g,mass_mass,0.001,mg/kg,,
ng/kg,mass_mass,1.00E-06,mg/kg,,
ug/g,mass_mass,1,mg/kg,,
ug/kg,mass_mass,0.001,mg/kg,,
g/l,mass_volume,1,mg/ml,,
g/m3,mass_volume,0.001,mg/ml,,
g/ml,mass_volume,1000,mg/ml,,
mg/l,mass_volume,0.001,mg/ml,,
mg/m3,mass_volume,1.00E-06,mg/ml,,
mg/ml,mass_volume,1,mg/ml,,
ng/l,mass_volume,1.00E-09,mg/ml,,
ng/ml,mass_volume,1.00E-06,mg/ml,,
pg/ul,mass_volume,1.00E-06,mg/ml,,
ug/l,mass_volume,1.00E-06,mg/ml,,
ug/m3,mass_volume,1.00E-09,mg/ml,,
ug/ml,mass_volume,1.00E-03,mg/ml,,
mmol,molar,1.00E+00,mmol,,
nmol,molar,1.00E-06,mmol,,
pmol,molar,1.00E-09,mmol,,
umol,molar,1.00E-03,mmol,,
mmol/kg,molar_mass,1.00E+00,mmol/kg,,
mmol/mg,molar_mass,1.00E+06,mmol/kg,,
mol/kg,molar_mass,1.00E+03,mmol/kg,,
nmol/g,molar_mass,1.00E-03,mmol/kg,,
nmol/kg,molar_mass,1.00E-06,mmol/kg,,
pmol/kg,molar_mass,1.00E-09,mmol/kg,,
umol/g,molar_mass,1.00E+00,mmol/kg,,
umol/kg,molar_mass,1.00E-03,mmol/kg,,
mmol/l,molar_volume,1.00E-03,mmol/ml,,
nmol/ml,molar_volume,1.00E-06,mmol/ml,,
ambiguous,other,1,NA,,
none,other,1,NA,,
other,other,1,NA,,
iu,units,1,iu,,
kiu,units,1.00E-03,iu,,
miu,units,1.00E-06,iu,,
iu/m2,units_area,1,iu/m2,,
iu/g,units_mass,1000,iu/kg,,
iu/kg,units_mass,1,iu/kg,,
kiu/kg,units_mass,1.00E-03,iu/kg,,
miu/kg,units_mass,1.00E-06,iu/kg,,
iu/dl,units_volume,1,iu/ml,,
iu/ml,units_volume,0.01,iu/ml,,
ml,volume,1,ml,,
ul,volume,0.001,ml,,
ml/m2,volume_area,1,ml/m2,,
ml/g,volume_mass,1000,ml/kg,,
ml/kg,volume_mass,1,ml/kg,,
ul/g,volume_mass,1,ml/kg,,
ul/kg,volume_mass,0.001,ml/kg,,
