cid,dose,dose_min,dose_max,dose_unit,dose_conf,dose_unit_type,duration,duration_unit,frequency,frequency_unit,rate,rate_unit,volume,volume_unit,lifestage
52257,5 cm2/day,5,5,cm2,low,area,,,1,day,,,,,
52260,9.5 cm2/day,9.5,9.5,cm2,low,area,,,1,day,,,,,
52262,9.5-13.3 cm2/day,9.5,9.5,cm2,low,area,,,1,day,,,,,
52258,5-15 cm2/day,5,15,cm2,low,area,,,1,day,,,,,
52238,15 cm2/day,15,15,cm2,low,area,,,1,day,,,,,
44006,20 cm2/day,20,20,cm2,low,area,,,1,day,,,,,
52243,20 cm2/day,20,20,cm2,low,area,,,1,day,,,,,
52236,10 cm2,10,10,cm2,low,area,,,,,,,,,
30448,52 cm2,52,52,cm2,low,area,,,,,,,,,
53116,0.0016-0.25 g/day,0.0016,0.0016,g,high,mass,,,1,day,,,,,
19927,0.02 g/once a day,0.02,0.02,g,high,mass,,,1,day,,,,,
58762,0.09 g/day,0.09,0.09,g,high,mass,,,1,day,,,,,
23954,0.1-3 g/day,0.1,0.1,g,high,mass,,,1,day,,,,,
40784,0.1 g/day,0.1,0.1,g,high,mass,,,1,day,,,,,
43075,0.1 g/day,0.1,0.1,g,high,mass,,,1,day,,,,,
14700,0.2-1.5 g/day,0.2,0.2,g,high,mass,,,1,day,,,,,
14701,0.2-1.5 g/day,0.2,0.2,g,high,mass,,,1,day,,,,,
49633,0.2-0.4 g/day,0.2,0.2,g,high,mass,,,1,day,,,,,
3968,0.25-2 g/day,0.25,0.25,g,high,mass,,,1,day,,,,,
45542,0.3 g/day,0.3,0.3,g,high,mass,,,1,day,,,,,
57564,0.3-0.4 g/day,0.3,0.3,g,high,mass,,,1,day,,,,,
13158,0.4 g/day,0.4,0.4,g,high,mass,,,1,day,,,,,
14706,0.4-1.2 g/day,0.4,0.4,g,high,mass,,,1,day,,,,,
14707,0.4-1.2 g/day,0.4,0.4,g,high,mass,,,1,day,,,,,
869,0.5-1.5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
12774,0.5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
12775,0.5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
12776,0.5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
12847,0.5-4 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
21040,0.5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
24717,0.5-2 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
30946,0.5-3 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
36038,0.5-9 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
39543,0.5-2 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
41496,0.5-5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
54857,0.5-4 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
